,code,name,sector,shares,stock price,asset per company,dividend yield,PER,PBR,sales,operationg income,operationg margin,current ratio,dividend,payout ratio
3347,9051,センコン物流(株),陸運業,0,748.00,0.0,1.67,--,0.94,"16,415.43",-560.01,-3.04,0.78,12.50,--
3348,9052,山陽電気鉄道(株),陸運業,0,"2,121.00",0.0,1.41,20.63,1.20,"51,475.00","3,642.00",6.83,0.75,27.50,26.70
3349,9055,(株)アルプス物流,陸運業,0,886.00,0.0,2.14,12.56,0.69,"104,919.00","4,619.00",4.26,1.95,18.00,25.37
3350,9058,トランコム(株),倉庫・運輸関連業,0,"7,960.00",0.0,1.26,17.98,2.28,"151,111.00","6,525.00",4.35,2.32,92.00,20.89
3351,9059,カンダホールディングス(株),陸運業,0,885.00,0.0,2.71,12.06,0.56,"43,583.00","1,433.00",3.29,1.02,24.00,32.66
3352,9060,日本ロジテム(株),陸運業,0,"4,650.00",0.0,1.72,80.37,0.59,"49,395.53",425.39,0.55,0.89,80.00,138.27
3353,9062,日本通運(株),陸運業,0,"5,910.00",0.0,2.71,11.47,1.03,"2,138,501.00","77,850.00",3.42,1.57,155.00,29.93
3354,9063,岡山県貨物運送(株),陸運業,0,"2,982.00",0.0,2.35,4.49,0.38,"43,314.29","2,092.64",4.35,0.90,70.00,10.55
3355,9064,ヤマトホールディングス(株),陸運業,0,"1,921.00",0.0,1.51,29.49,1.34,"1,625,315.00","52,258.00",3.46,1.34,28.00,42.98
3356,9065,山九(株),陸運業,0,"5,300.00",0.0,2.08,11.67,1.63,"572,516.00","40,628.00",6.86,1.48,100.00,24.22
3357,9066,(株)日新,倉庫・運輸関連業,0,"1,638.00",0.0,3.24,7.31,0.54,"218,040.00","6,591.00",2.47,1.66,50.00,24.58
