,code,name,market,sector,nikkei225,stock
393,2573,北海道コカ・コーラボトリング(株),東証2部,食料品,,0
394,2579,コカ・コーラ　ボトラーズジャパンホールディングス(株),東証1部,食料品,,0
395,2586,(株)フルッタフルッタ,マザーズ,食料品,,0
396,2587,サントリー食品インターナショナル(株),東証1部,食料品,,0
397,2588,(株)プレミアムウォーターホールディングス,東証2部,食料品,,0
398,2590,ダイドーグループホールディングス(株),東証1部,食料品,,0
399,2593,(株)伊藤園,東証1部,食料品,,0
400,2594,キーコーヒー(株),東証1部,食料品,,0
401,2597,(株)ユニカフェ,東証1部,食料品,,0
402,2599,ジャパンフーズ(株),東証1部,食料品,,0
403,2602,日清オイリオグループ(株),東証1部,食料品,,0
404,2607,不二製油グループ本社(株),東証1部,食料品,,0
405,2608,ボーソー油脂(株),東証2部,食料品,,0
406,2612,かどや製油(株),東証1部,食料品,,0
407,2613,(株)Ｊ−オイルミルズ,東証1部,食料品,,0
408,2651,(株)ローソン,東証1部,小売業,,0
409,2652,(株)まんだらけ,東証2部,小売業,,0
410,2653,イオン九州(株),東証JQS,小売業,,0
411,2654,(株)アスモ,東証2部,小売業,,0
412,2655,マックスバリュ東北(株),東証2部,小売業,,0
413,2656,(株)ベクター,東証JQS,小売業,,0
414,2659,(株)サンエー,東証1部,小売業,,0
415,2664,(株)カワチ薬品,東証1部,小売業,,0
416,2666,(株)オートウェーブ,東証JQS,小売業,,0
417,2667,(株)イメージ　ワン,東証JQS,卸売業,,0
418,2668,タビオ(株),東証2部,卸売業,,0
419,2669,カネ美食品(株),東証JQS,小売業,,0
420,2670,(株)エービーシー・マート,東証1部,小売業,,0
421,2673,夢みつけ隊(株),東証JQS,小売業,,0
422,2674,(株)ハードオフコーポレーション,東証1部,小売業,,0
423,2675,(株)ダイナックホールディングス,東証2部,小売業,,0
424,2676,高千穂交易(株),東証1部,卸売業,,0
425,2678,アスクル(株),東証1部,小売業,,0
426,2681,(株)ゲオホールディングス,東証1部,小売業,,0
427,2683,(株)魚喜,東証2部,小売業,,0
428,2685,(株)アダストリア,東証1部,小売業,,0
429,2686,(株)ジーフット,東証1部,小売業,,0
